	Год		Место проведения финала		Место		Состав команды		Тренер	
	2017		"США", Рапид-Сити		1 место, золотая медаль		Владимир Смыкалов, Иван Белоногов, Илья Збань		Андрей Станкевич	
	2016		"Таиланд", Пхукет		7 место, серебряная медаль		Антон Ковшаров, Владимир Смыкалов, Адам Бардашевич		Андрей Станкевич	
	2015		"Марокко", Марракеш		1 место, золотая медаль		Артем Васильев, Борис Минаев, Геннадий Короткевич		Андрей Станкевич	
	2014		"Россия", Екатеринбург		бронзовая медаль		Борис Минаев, Артем Васильев, Адам Бардашевич		Андрей Станкевич	
	2013		"Россия", С.Петербург		1 место, золотая медаль		Михаил Кевер, Геннадий Короткевич, Нияз Нигматуллин		Андрей Станкевич	
	2012		"Польша", Варшава		1 место, золотая медаль		Евгений Капун, Михаил Кевер, Нияз Нигматуллин		Андрей Станкевич	
	2009		"Швеция", Стокгольм		1 место, золотая медаль		Владислав Исенбаев, Максим Буздалов, Евгений Капун		Андрей Станкевич	
	2008		"Канада", Банфф		1 место, золотая медаль		Дмитрий Абдрашитов, Дмитрий Паращенко, Федор Царев		Андрей Станкевич	
	2007		"Япония", Токио		3 место, золотая медаль		Искандер Акишев, Михаил Дворкин, Роман Сатюков			
	2005		"Китай", Шанхай		3 место, золотая медаль		Павел Маврин, Сергей Оршанский, Дмитрий Павлов		Андрей Станкевич	
	2004		"Чехия", Прага		1 место, золотая медаль		Дмитрий Павлов, Павел Маврин, Сергей Оршанский		Андрей Станкевич	
	2003		"США", Беверли-Хиллс		3 место, золотая медаль		Тимофей Бородин, Александр Штучкин, Евгений Южаков			
	2001		"Канада", Ванкувер		3 место, золотая медаль		Георгий Корнеев, Денис Кузнецов, Андрей Станкевич			
	2000		"США", Орландо		серебряная медаль		Георгий Корнеев, Денис Кузнецов, Андрей Станкевич			
	1999		"Нидерланды", Эйндховен		3 место, золотая медаль		Александр Волков, Матвей Казаков, Владимир Левкин			
